"School_Type","Location","Infrastructure","Teaching_Staff","Gender","Caste","Age","Standard","Socioeconomic_Status","Dropout_Status","Dropout_Reason"
"Government","Semi-Urban","Good","Good","Male","SC","14","9","Low","Dropout","Economic_Reasons"
"Government","Rural","Basic","Good","Female","OBC","13","8","Low","Dropout","Social_Issues"
"Private","Semi-Urban","Poor","Poor","Male","ST","12","7","Moderate","Enrolled","N/A"
"Private","Rural","Excellent","Excellent","Male","General","11","6","High","Enrolled","N/A"
"Government","Semi-Urban","Basic","Good","Female","SC","15","10","Low","Dropout","Economic_Reasons"
"Private","Rural","Basic","Good","Male","OBC","14","9","Moderate","Enrolled","N/A"
"Government","Rural","Good","Excellent","Female","ST","13","8","Low","Dropout","Poverty"
"Government","Semi-Urban","Poor","Poor","Male","SC","12","7","Low","Dropout","Economic_Reasons"
"Private","Rural","Excellent","Excellent","Female","OBC","10","5","Moderate","Enrolled","N/A"
"Private","Rural","Excellent","Excellent","Male","General","15","10","Moderate","Enrolled","N/A"
"Government","Semi-Urban","Poor","Poor","Female","SC","14","9","Low","Dropout","Economic_Reasons"
"Private","Rural","Basic","Good","Male","ST","13","8","High","Enrolled","N/A"
"Government","Rural","Excellent","Excellent","Female","OBC","12","7","Low","Dropout","Poverty"
"Private","Semi-Urban","Poor","Poor","Male","General","11","6","Moderate","Enrolled","N/A"
"Government","Rural","Basic","Good","Female","SC","10","5","Low","Dropout","Poverty"
"Private","Urban","Poor","Poor","Male","OBC","15","10","High","Enrolled","N/A"
"Government","Semi-Urban","Good","Good","Male","ST","14","9","Low","Dropout","Economic_Reasons"
"Government","Semi-Urban","Basic","Good","Female","SC","12","7","Low","Dropout","Social_Issues"
"Private","Rural","Excellent","Excellent","Male","OBC","11","6","High","Enrolled","N/A"
"Private","Rural","Basic","Good","Female","General","10","5","Moderate","Enrolled","N/A"
"Government","Semi-Urban","Poor","Poor","Male","SC","13","8","Low","Dropout","Economic_Reasons"
"Private","Rural","Excellent","Excellent","Male","ST","15","10","Moderate","Enrolled","N/A"
"Government","Rural","Basic","Good","Female","OBC","14","9","Low","Dropout","Poverty"
"Government","Semi-Urban","Poor","Poor","Male","SC","12","7","Low","Dropout","Economic_Reasons"
"Private","Rural","Excellent","Excellent","Female","General","11","6","High","Enrolled","N/A"
"Private","Rural","Basic","Good","Female","ST","10","5","Moderate","Enrolled","N/A"
"Private","Semi-Urban","Poor","Poor","Male","OBC","15","10","High","Enrolled","N/A"
"Government","Rural","Excellent","Excellent","Male","SC","13","8","Low","Dropout","Social_Issues"
"Private","Rural","Basic","Good","Male","OBC","14","9","High","Enrolled","N/A"
"Government","Semi-Urban","Good","Good","Female","General","12","7","Low","Dropout","Poverty"
"Government","Rural","Poor","Poor","Male","ST","11","6","Low","Dropout","Economic_Reasons"
"Government","Urban","Basic","Good","Female","SC","10","5","Low","Dropout","Social_Issues"
"Private","Semi-Urban","Good","Excellent","Male","OBC","15","10","Moderate","Enrolled","N/A"
"Government","Semi-Urban","Good","Excellent","Male","General","14","9","Low","Dropout","Poverty"
"Private","Rural","Poor","Poor","Female","SC","12","7","Moderate","Enrolled","N/A"
"Government","Rural","Excellent","Excellent","Male","ST","11","6","Low","Dropout","Economic_Reasons"
"Private","Semi-Urban","Poor","Poor","Female","OBC","10","5","High","Enrolled","N/A"
"Private","Rural","Basic","Good","Male","General","13","8","High","Enrolled","N/A"
"Government","Rural","Excellent","Excellent","Male","SC","14","9","Low","Dropout","Poverty"
"Private","Semi-Urban","Poor","Poor","Female","OBC","12","7","Moderate","Enrolled","N/A"
"Government","Rural","Basic","Good","Male","ST","15","10","Low","Dropout","Social_Issues"
"Private","Rural","Poor","Poor","Female","General","14","9","Moderate","Enrolled","N/A"
"Government","Semi-Urban","Good","Good","Male","OBC","13","8","Low","Dropout","Poverty"
"Private","Semi-Urban","Basic","Good","Female","SC","12","7","Moderate","Enrolled","N/A"
"Private","Rural","Excellent","Excellent","Male","ST","11","6","High","Enrolled","N/A"
"Government","Rural","Basic","Good","Female","OBC","10","5","Low","Dropout","Social_Issues"
"Private","Semi-Urban","Poor","Poor","Male","General","15","10","High","Enrolled","N/A"
"Government","Rural","Excellent","Excellent","Male","SC","14","9","Low","Dropout","Poverty"
"Government","Urban","Basic","Good","Female","ST","13","8","Low","Dropout","Economic_Reasons"
"Private","Semi-Urban","Poor","Poor","Male","OBC","12","7","High","Enrolled","N/A"
"Government","Rural","Excellent","Excellent","Male","SC","11","6","Low","Dropout","Poverty"
"Private","Rural","Basic","Good","Female","General","15","10","Moderate","Enrolled","N/A"
"Government","Semi-Urban","Poor","Poor","Male","OBC","14","9","Low","Dropout","Social_Issues"
"Government","Semi-Urban","Good","Good","Male","SC","12","7","Low","Dropout","Economic_Reasons"
"Government","Rural","Poor","Poor","Female","ST","14","9","Low","Dropout","Economic_Reasons"
"Private","Rural","Excellent","Excellent","Male","OBC","11","6","Moderate","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Male","General","15","10","High","Enrolled","N/A"
"Government","Rural","Basic","Good","Female","SC","13","8","Low","Dropout","Economic_Reasons"
"Government","Rural","Poor","Poor","Male","ST","12","7","Low","Dropout","Poverty"
"Private","Semi-Urban","Good","Good","Male","OBC","10","5","Moderate","Enrolled","N/A"
"Private","Rural","Excellent","Excellent","Female","General","14","9","High","Enrolled","N/A"
"Private","Rural","Basic","Good","Female","SC","15","10","Moderate","Enrolled","N/A"
"Government","Semi-Urban","Poor","Poor","Male","OBC","13","8","Low","Dropout","Social_Issues"
"Private","Rural","Excellent","Excellent","Male","ST","12","7","Moderate","Enrolled","N/A"
"Private","Rural","Basic","Good","Female","OBC","14","9","High","Enrolled","N/A"
"Government","Semi-Urban","Poor","Poor","Male","General","10","5","Low","Dropout","Economic_Reasons"
"Private","Rural","Excellent","Excellent","Male","SC","15","10","High","Enrolled","N/A"
"Government","Rural","Basic","Good","Female","ST","11","6","Low","Dropout","Poverty"
"Government","Semi-Urban","Good","Good","Male","OBC","14","9","Low","Dropout","Economic_Reasons"
"Private","Urban","Poor","Poor","Female","General","13","8","High","Enrolled","N/A"
"Private","Rural","Excellent","Excellent","Male","SC","12","7","Moderate","Enrolled","N/A"
"Government","Semi-Urban","Basic","Good","Female","ST","11","6","Low","Dropout","Poverty"
"Government","Rural","Poor","Poor","Male","OBC","15","10","Low","Dropout","Social_Issues"
"Private","Semi-Urban","Good","Good","Male","General","14","9","High","Enrolled","N/A"
"Government","Rural","Basic","Good","Female","SC","13","8","Low","Dropout","Economic_Reasons"
"Private","Rural","Poor","Poor","Male","ST","12","7","Moderate","Enrolled","N/A"
"Government","Semi-Urban","Excellent","Excellent","Male","OBC","11","6","Low","Dropout","Poverty"
"Private","Rural","Basic","Good","Female","General","10","5","Moderate","Enrolled","N/A"
"Private","Rural","Excellent","Excellent","Male","SC","15","10","High","Enrolled","N/A"
"Government","Rural","Poor","Poor","Male","ST","14","9","Low","Dropout","Economic_Reasons"
"Government","Semi-Urban","Good","Good","Female","OBC","12","7","Low","Dropout","Poverty"
"Private","Rural","Basic","Good","Male","General","11","6","Moderate","Enrolled","N/A"
"Private","Semi-Urban","Excellent","Excellent","Female","SC","15","10","High","Enrolled","N/A"
"Government","Rural","Basic","Good","Male","ST","14","9","Low","Dropout","Social_Issues"
"Government","Rural","Poor","Poor","Female","OBC","13","8","Low","Dropout","Poverty"
"Private","Semi-Urban","Good","Good","Male","General","12","7","Moderate","Enrolled","N/A"
"Private","Rural","Excellent","Excellent","Male","SC","11","6","High","Enrolled","N/A"
"Government","Rural","Basic","Good","Female","OBC","10","5","Low","Dropout","Economic_Reasons"
"Private","Semi-Urban","Poor","Poor","Male","General","15","10","High","Enrolled","N/A"
"Government","Rural","Excellent","Excellent","Male","SC","14","9","Low","Dropout","Poverty"
"Government","Rural","Basic","Good","Female","ST","13","8","Low","Dropout","Economic_Reasons"
"Private","Semi-Urban","Poor","Poor","Male","OBC","12","7","Moderate","Enrolled","N/A"
"Government","Urban","Excellent","Excellent","Male","General","11","6","Low","Dropout","Poverty"
"Private","Rural","Basic","Good","Female","SC","10","5","Moderate","Enrolled","N/A"
"Private","Semi-Urban","Excellent","Excellent","Male","ST","15","10","High","Enrolled","N/A"
"Government","Rural","Poor","Poor","Male","OBC","14","9","Low","Dropout","Economic_Reasons"
"Government","Rural","Good","Good","Female","General","12","7","Low","Dropout","Poverty"
"Private","Semi-Urban","Basic","Good","Male","SC","13","8","High","Enrolled","N/A"
"Government","Rural","Excellent","Excellent","Male","OBC","11","6","Low","Dropout","Social_Issues"
"Private","Rural","Basic","Good","Female","ST","10","5","Moderate","Enrolled","N/A"
"Private","Semi-Urban","Poor","Poor","Male","OBC","15","10","High","Enrolled","N/A"
"Government","Rural","Excellent","Excellent","Male","SC","14","9","Low","Dropout","Economic_Reasons"
"Government","Rural","Basic","Good","Female","General","13","8","Low","Dropout","Poverty"
"Private","Semi-Urban","Poor","Poor","Male","ST","12","7","Moderate","Enrolled","N/A"
"Private","Rural","Excellent","Excellent","Male","OBC","11","6","High","Enrolled","N/A"
"Government","Rural","Basic","Good","Female","General","10","5","Low","Dropout","Economic_Reasons"
"Private","Semi-Urban","Poor","Poor","Male","SC","15","10","High","Enrolled","N/A"
"Government","Rural","Excellent","Excellent","Male","ST","14","9","Low","Dropout","Poverty"
"Government","Rural","Basic","Good","Female","OBC","13","8","Low","Dropout","Economic_Reasons"
"Private","Semi-Urban","Poor","Poor","Male","General","12","7","High","Enrolled","N/A"
"Private","Rural","Excellent","Excellent","Male","SC","11","6","Moderate","Enrolled","N/A"
"Government","Semi-Urban","Good","Good","Female","ST","10","5","Low","Dropout","Poverty"
"Private","Urban","Basic","Good","Male","OBC","15","10","High","Enrolled","N/A"
"Government","Rural","Excellent","Excellent","Male","General","14","9","Low","Dropout","Economic_Reasons"
"Private","Semi-Urban","Poor","Poor","Female","SC","12","7","Moderate","Enrolled","N/A"
"Private","Rural","Basic","Good","Male","ST","13","8","High","Enrolled","N/A"
"Government","Rural","Poor","Poor","Female","OBC","14","9","Low","Dropout","Economic_Reasons"
"Government","Semi-Urban","Good","Good","Male","General","10","5","Low","Dropout","Poverty"
"Private","Rural","Excellent","Excellent","Male","SC","15","10","Moderate","Enrolled","N/A"
"Government","Rural","Basic","Good","Female","ST","13","8","Low","Dropout","Social_Issues"
"Private","Semi-Urban","Poor","Poor","Male","OBC","12","7","High","Enrolled","N/A"
"Government","Rural","Excellent","Excellent","Male","General","11","6","Low","Dropout","Economic_Reasons"
"Government","Rural","Basic","Good","Female","SC","10","5","Low","Dropout","Social_Issues"
"Private","Semi-Urban","Good","Good","Male","ST","15","10","High","Enrolled","N/A"
"Government","Rural","Excellent","Excellent","Male","OBC","14","9","Low","Dropout","Poverty"
"Government","Rural","Basic","Good","Female","General","13","8","Low","Dropout","Economic_Reasons"
"Private","Semi-Urban","Poor","Poor","Male","SC","12","7","Moderate","Enrolled","N/A"
"Government","Rural","Excellent","Excellent","Male","OBC","11","6","Low","Dropout","Poverty"
"Private","Semi-Urban","Basic","Good","Female","ST","10","5","Moderate","Enrolled","N/A"
"Private","Rural","Excellent","Excellent","Male","General","15","10","High","Enrolled","N/A"
"Government","Rural","Basic","Good","Female","SC","14","9","Low","Dropout","Economic_Reasons"
"Government","Rural","Poor","Poor","Male","OBC","13","8","Low","Dropout","Poverty"
"Private","Semi-Urban","Good","Good","Female","ST","12","7","High","Enrolled","N/A"
"Private","Urban","Basic","Good","Male","SC","11","6","Moderate","Enrolled","N/A"
"Government","Semi-Urban","Excellent","Excellent","Male","OBC","10","5","Low","Dropout","Economic_Reasons"
"Private","Rural","Basic","Good","Female","General","15","10","High","Enrolled","N/A"
"Government","Rural","Poor","Poor","Male","SC","14","9","Low","Dropout","Poverty"
"Government","Semi-Urban","Good","Good","Male","OBC","13","8","Low","Dropout","Economic_Reasons"
"Private","Rural","Excellent","Excellent","Female","ST","12","7","Moderate","Enrolled","N/A"
"Government","Rural","Basic","Good","Female","OBC","11","6","Low","Dropout","Poverty"
"Private","Semi-Urban","Poor","Poor","Male","General","10","5","High","Enrolled","N/A"
"Private","Rural","Excellent","Excellent","Male","SC","15","10","Moderate","Enrolled","N/A"
"Government","Rural","Basic","Good","Female","ST","14","9","Low","Dropout","Economic_Reasons"
"Government","Semi-Urban","Poor","Poor","Male","OBC","13","8","Low","Dropout","Poverty"
"Private","Rural","Excellent","Excellent","Male","General","12","7","High","Enrolled","N/A"
"Private","Rural","Basic","Good","Female","SC","11","6","Moderate","Enrolled","N/A"
"Government","Semi-Urban","Excellent","Excellent","Male","OBC","10","5","Low","Dropout","Economic_Reasons"
"Private","Rural","Poor","Poor","Male","ST","15","10","High","Enrolled","N/A"
"Government","Rural","Basic","Good","Female","SC","14","9","Low","Dropout","Poverty"
"Private","Semi-Urban","Poor","Poor","Male","OBC","13","8","High","Enrolled","N/A"
"Private","Rural","Excellent","Excellent","Male","ST","12","7","Moderate","Enrolled","N/A"
"Government","Rural","Basic","Good","Female","OBC","11","6","Low","Dropout","Economic_Reasons"
"Private","Semi-Urban","Poor","Poor","Male","General","10","5","Moderate","Enrolled","N/A"
"Private","Semi-Urban","Basic","Good","Female","SC","15","10","Moderate","Enrolled","N/A"
"Government","Urban","Poor","Poor","Male","ST","13","8","Low","Dropout","Economic_Reasons"
"Private","Rural","Excellent","Excellent","Male","OBC","12","7","High","Enrolled","N/A"
"Government","Semi-Urban","Good","Good","Male","General","14","9","Low","Dropout","Poverty"
"Government","Rural","Basic","Good","Female","SC","11","6","Low","Dropout","Economic_Reasons"
"Private","Rural","Poor","Poor","Male","ST","10","5","Moderate","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Male","OBC","15","10","Moderate","Enrolled","N/A"
"Private","Rural","Excellent","Excellent","Female","SC","14","9","High","Enrolled","N/A"
"Government","Rural","Basic","Good","Female","ST","12","7","Low","Dropout","Social_Issues"
"Government","Semi-Urban","Poor","Poor","Male","OBC","13","8","Low","Dropout","Poverty"
"Private","Rural","Excellent","Excellent","Male","SC","15","10","Moderate","Enrolled","N/A"
"Private","Rural","Basic","Good","Female","OBC","14","9","High","Enrolled","N/A"
"Government","Semi-Urban","Poor","Poor","Male","General","12","7","Low","Dropout","Economic_Reasons"
"Private","Rural","Excellent","Excellent","Male","SC","11","6","High","Enrolled","N/A"
"Government","Rural","Basic","Good","Female","ST","10","5","Low","Dropout","Poverty"
"Government","Semi-Urban","Good","Good","Male","OBC","15","10","Low","Dropout","Economic_Reasons"
"Private","Rural","Poor","Poor","Male","SC","13","8","High","Enrolled","N/A"
"Private","Rural","Excellent","Excellent","Male","OBC","12","7","Moderate","Enrolled","N/A"
